NAMESPACE              NAME                                                   CPU(cores)   MEMORY(bytes)   
envoy-gateway-system   envoy-gateway-84d867bb9d-zs2nv                         7m           44Mi            
kube-system            calico-kube-controllers-6b9b5f7c4-48mqk                16m          48Mi            
kube-system            calico-node-4krkt                                      61m          81Mi            
kube-system            calico-node-lgmtz                                      45m          85Mi            
kube-system            calico-node-mqrgg                                      53m          82Mi            
kube-system            coredns-589f44dc88-khx9s                               4m           18Mi            
kube-system            coredns-589f44dc88-xt9px                               3m           18Mi            
kube-system            etcd-node-01                                           134m         164Mi           
kube-system            etcd-node-02                                           97m          132Mi           
kube-system            etcd-node-03                                           110m         121Mi           
kube-system            kube-apiserver-node-01                                 134m         924Mi           
kube-system            kube-apiserver-node-02                                 109m         1095Mi          
kube-system            kube-apiserver-node-03                                 100m         932Mi           
kube-system            kube-controller-manager-node-01                        31m          86Mi            
kube-system            kube-controller-manager-node-02                        3m           22Mi            
kube-system            kube-controller-manager-node-03                        3m           23Mi            
kube-system            kube-proxy-dlgqq                                       1m           19Mi            
kube-system            kube-proxy-ftsf4                                       1m           19Mi            
kube-system            kube-proxy-vlh6z                                       1m           19Mi            
kube-system            kube-scheduler-node-01                                 14m          34Mi            
kube-system            kube-scheduler-node-02                                 13m          33Mi            
kube-system            kube-scheduler-node-03                                 14m          34Mi            
kube-system            kube-vip-node-01                                       1m           13Mi            
kube-system            kube-vip-node-02                                       2m           13Mi            
kube-system            kube-vip-node-03                                       5m           17Mi            
kube-system            metrics-server-6d49fbf5b8-trvfj                        5m           34Mi            
metallb-system         controller-74d5cc54bb-wkztr                            2m           37Mi            
metallb-system         speaker-d956q                                          10m          35Mi            
metallb-system         speaker-pcszv                                          10m          34Mi            
metallb-system         speaker-xwxtr                                          9m           35Mi            
piraeus-datastore      ha-controller-h2pb6                                    2m           15Mi            
piraeus-datastore      ha-controller-nqd4t                                    2m           15Mi            
piraeus-datastore      ha-controller-q2ffz                                    2m           15Mi            
piraeus-datastore      linstor-affinity-controller-d486bfb9b-4tvkf            1m           11Mi            
piraeus-datastore      linstor-controller-667c75554d-548hq                    3m           1151Mi          
piraeus-datastore      linstor-csi-controller-5bb65bbbb5-4xd2z                12m          104Mi           
piraeus-datastore      linstor-csi-nfs-server-bfkzx                           1m           21Mi            
piraeus-datastore      linstor-csi-nfs-server-kbdtv                           1m           21Mi            
piraeus-datastore      linstor-csi-nfs-server-kzz5f                           1m           22Mi            
piraeus-datastore      linstor-csi-node-g76ss                                 3m           36Mi            
piraeus-datastore      linstor-csi-node-qsqg8                                 3m           36Mi            
piraeus-datastore      linstor-csi-node-rgsft                                 2m           36Mi            
piraeus-datastore      linstor-satellite.node-01-vsdpr                        2m           278Mi           
piraeus-datastore      linstor-satellite.node-02-pxwpc                        2m           358Mi           
piraeus-datastore      linstor-satellite.node-03-zrggg                        2m           241Mi           
piraeus-datastore      piraeus-operator-controller-manager-64fdf69b7c-bwkw8   2m           72Mi            
piraeus-datastore      piraeus-operator-gencert-556cf9cf5f-kwgt8              2m           10Mi            
